Time,Displacement,Force,Compressive displacement,voltage_1
0.0,-0.0001,0.0068,0.0,-0.0003
0.005,0.0001,0.0076,0.0002,-0.0003
0.01,-0.0001,0.0084,0.0,-0.0003
0.015,0.0001,0.0096,0.0002,-0.0003
0.02,0.0,0.0104,0.0,-0.0003
0.025,0.0,0.0111,0.0001,-0.0003
0.03,0.0,0.0117,0.0001,-0.0003
0.035,0.0,0.0124,0.0001,-0.0003
0.04,0.0001,0.0129,0.0001,-0.0003
0.045,0.0,0.0133,0.0001,-0.0003
0.05,0.0002,0.0136,0.0003,-0.0003
0.055,0.0001,0.0139,0.0002,-0.0003
0.06,0.0004,0.0144,0.0004,-0.0003
0.065,0.0003,0.0142,0.0004,-0.0003
0.07,0.0005,0.0142,0.0006,-0.0003
0.075,0.0006,0.0134,0.0007,-0.0003
0.08,0.0008,0.0127,0.0009,-0.0003
0.085,0.0013,0.0119,0.0014,-0.0003
0.09,0.0022,0.0121,0.0023,-0.0003
0.095,0.0036,0.0131,0.0036,-0.0003
0.1,0.0052,0.0145,0.0053,-0.0003
0.105,0.0071,0.0152,0.0072,-0.0003
0.11,0.009,0.0154,0.0091,-0.0003
0.115,0.0109,0.0151,0.011,-0.0003
0.12,0.0126,0.0141,0.0127,-0.0003
0.125,0.0143,0.0126,0.0144,-0.0003
0.13,0.0159,0.0117,0.016,-0.0003
0.135,0.0175,0.0114,0.0176,-0.0003
0.14,0.0189,0.0111,0.019,-0.0003
0.145,0.0202,0.0105,0.0203,-0.0003
0.15,0.0214,0.0096,0.0215,-0.0003
0.155,0.0225,0.0091,0.0226,-0.0003
0.16,0.0236,0.0084,0.0237,-0.0003
0.165,0.0247,0.0077,0.0248,-0.0003
0.17,0.0259,0.0075,0.026,-0.0003
0.175,0.0272,0.0083,0.0273,-0.0003
0.18,0.0286,0.0098,0.0286,-0.0003
0.185,0.03,0.0112,0.0301,-0.0003
0.19,0.0316,0.0123,0.0317,-0.0003
0.195,0.0331,0.0129,0.0332,-0.0003
0.2,0.0346,0.012,0.0347,-0.0003
0.205,0.0361,0.0111,0.0362,-0.0003
0.21,0.0376,0.0105,0.0377,-0.0003
0.215,0.039,0.0102,0.0391,-0.0003
0.22,0.0405,0.01,0.0406,-0.0003
0.225,0.0421,0.01,0.0422,-0.0003
0.23,0.0437,0.0102,0.0438,-0.0003
0.235,0.0454,0.0103,0.0455,-0.0003
0.24,0.0471,0.0107,0.0472,-0.0003
0.245,0.0488,0.0108,0.0489,-0.0003
0.25,0.0505,0.0114,0.0506,-0.0003
0.255,0.0522,0.0123,0.0522,-0.0003
0.26,0.0537,0.0132,0.0538,-0.0003
