swing_phase, Sync, time, data
0, 0, 0.06864356994628906, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.07281851768493652, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.07809996604919434, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.08312416076660156, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.08809065818786621, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.0930783748626709, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.09806609153747559, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.10287165641784668, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.1081533432006836, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.11349368095397949, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.11837148666381836, 0.6499999761581421 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.12363600730895996, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.12847018241882324, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.1334218978881836, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.1485424041748047, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.15173721313476562, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.15257596969604492, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.1530590057373047, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.1582322120666504, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.16282033920288086, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.1681516170501709, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.1730790138244629, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.17810583114624023, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.18281245231628418, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.1878063678741455, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.1933887004852295, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.19820833206176758, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.20850825309753418, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.2091662883758545, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.21281933784484863, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.2181100845336914, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.224562406539917, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.22819781303405762, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.23284292221069336, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.24158000946044922, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.2436659336090088, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.2478647232055664, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.25318288803100586, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.25824999809265137, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.2630786895751953, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.26781225204467773, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.27308106422424316, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.2778136730194092, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.28304529190063477, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.28815674781799316, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.29344820976257324, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.29830074310302734, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3028104305267334, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3081376552581787, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.312821626663208, 0.6499999761581421 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.31781601905822754, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3230459690093994, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3278226852416992, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3328089714050293, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3378183841705322, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3430674076080322, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3482179641723633, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.35307765007019043, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.35810422897338867, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3628203868865967, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3682291507720947, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.37297821044921875, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.37807750701904297, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.38288450241088867, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.38811516761779785, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3928496837615967, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.3980872631072998, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.40282559394836426, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.40848755836486816, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4128448963165283, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4181036949157715, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.42320775985717773, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4280574321746826, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4328124523162842, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.43804144859313965, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.44307613372802734, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4478003978729248, 0.6499999761581421 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4530820846557617, 0.6499999761581421 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4582021236419678, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4630763530731201, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.46814513206481934, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4730706214904785, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.47823357582092285, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.48303937911987305, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4878194332122803, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4930565357208252, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.4982776641845703, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5028066635131836, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5081231594085693, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5130786895751953, 0.6499999761581421 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5180873870849609, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5228192806243896, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5281021595001221, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5330824851989746, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5380897521972656, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5430736541748047, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5480878353118896, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5528559684753418, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5580875873565674, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5628154277801514, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5680692195892334, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5730745792388916, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5780754089355469, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5830729007720947, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5878117084503174, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.593043327331543, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.5980801582336426, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.603041410446167, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6081407070159912, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6130802631378174, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6180860996246338, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6230752468109131, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6278176307678223, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6328225135803223, 0.6499999761581421 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6378204822540283, 0.6499999761581421 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.642810583114624, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6478047370910645, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6534242630004883, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6578032970428467, 0.6499999761581421 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6630792617797852, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6680634021759033, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6730775833129883, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.678046464920044, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6828043460845947, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6878223419189453, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6928167343139648, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.6980817317962646, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.7030434608459473, 0.6499999761581421 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.7081053256988525, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.7128198146820068, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.7180585861206055, 0.6520000100135803 0.7179999947547913 0.6259999871253967 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.7230727672576904, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
0, 0, 0.728487491607666, 0.6520000100135803 0.7179999947547913 0.628000020980835 0.6800000071525574 0.6660000085830688 0.734000027179718
