Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.0121,0.1328,0.0,-0.0016
0.005,0.0121,0.1321,0.0,-0.0016
0.01,0.0121,0.1311,0.0,-0.0016
0.015,0.0121,0.1303,0.0,-0.0016
0.02,0.0121,0.1297,0.0,-0.0016
0.025,0.0121,0.1294,0.0,-0.0016
0.03,0.0121,0.1289,0.0,-0.0016
0.035,0.0121,0.1278,0.0,-0.0016
0.04,0.0121,0.1272,0.0001,-0.0016
0.045,0.0122,0.1275,0.0002,-0.0016
0.05,0.0125,0.1288,0.0005,-0.0016
0.055,0.0131,0.1324,0.0011,-0.0016
0.06,0.0141,0.1402,0.002,-0.0016
0.065,0.0154,0.1549,0.0033,-0.0016
0.07,0.017,0.1786,0.0049,-0.0016
0.075,0.0187,0.2134,0.0066,-0.0016
0.08,0.0203,0.2599,0.0083,-0.0016
0.085,0.0219,0.3181,0.0098,-0.0016
0.09,0.0232,0.3852,0.0111,-0.0016
0.095,0.0243,0.457,0.0123,-0.0016
0.1,0.0254,0.5308,0.0134,-0.0016
0.105,0.0265,0.6048,0.0144,-0.0016
0.11,0.0276,0.6774,0.0156,-0.0016
0.115,0.0288,0.7477,0.0168,-0.0016
0.12,0.0301,0.816,0.018,-0.0016
0.125,0.0314,0.8838,0.0193,-0.0016
0.13,0.0327,0.9512,0.0206,-0.0016
0.135,0.0341,1.019,0.022,-0.0016
0.14,0.0354,1.0876,0.0234,-0.0016
0.145,0.0368,1.1567,0.0247,-0.0016
0.15,0.0382,1.2267,0.0261,-0.0016
0.155,0.0396,1.2977,0.0275,-0.0016
0.16,0.041,1.3697,0.029,-0.0016
0.165,0.0426,1.4434,0.0305,-0.0016
0.17,0.0442,1.5194,0.0321,-0.0016
0.175,0.0458,1.5978,0.0338,-0.0016
0.18,0.0475,1.6789,0.0355,-0.0016
0.185,0.0493,1.7636,0.0372,-0.0016
0.19,0.0511,1.852,0.039,-0.0016
0.195,0.0528,1.9446,0.0408,-0.0016
0.2,0.0545,2.0399,0.0425,-0.0016
0.205,0.0561,2.137,0.0441,-0.0016
0.21,0.0576,2.2351,0.0456,-0.0016
0.215,0.0591,2.3328,0.047,-0.0016
0.22,0.0606,2.4291,0.0485,-0.0016
0.225,0.0621,2.5238,0.05,-0.0016
0.23,0.0636,2.6171,0.0515,-0.0016
0.235,0.0651,2.7098,0.0531,-0.0016
0.24,0.0668,2.8024,0.0547,-0.0016
