Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.0373,-0.0022,0.0,-0.0016
0.005,0.0373,-0.0029,0.0,-0.0016
0.01,0.0373,-0.0036,0.0,-0.0016
0.015,0.0373,-0.0037,0.0,-0.0016
0.02,0.0373,-0.0035,0.0,-0.0016
0.025,0.0373,-0.0027,0.0,-0.0016
0.03,0.0373,-0.0015,0.0,-0.0016
0.035,0.0373,-0.0006,0.0,-0.0016
0.04,0.0373,-0.0007,0.0,-0.0016
0.045,0.0374,-0.0012,0.0001,-0.0016
0.05,0.0375,-0.002,0.0001,-0.0016
0.055,0.0378,-0.0024,0.0004,-0.0016
0.06,0.0383,-0.0016,0.001,-0.0016
0.065,0.0391,0.0007,0.0017,-0.0016
0.07,0.0401,0.0053,0.0027,-0.0016
0.075,0.0413,0.0123,0.0039,-0.0016
0.08,0.0427,0.0216,0.0053,-0.0016
0.085,0.0442,0.0332,0.0069,-0.0016
0.09,0.0459,0.0471,0.0085,-0.0017
0.095,0.0475,0.0637,0.0102,-0.0016
0.1,0.0493,0.0835,0.0119,-0.0016
0.105,0.051,0.1061,0.0137,-0.0016
0.11,0.0527,0.131,0.0154,-0.0016
0.115,0.0544,0.1575,0.0171,-0.0016
0.12,0.0561,0.185,0.0188,-0.0016
0.125,0.0576,0.2126,0.0203,-0.0016
0.13,0.059,0.2393,0.0217,-0.0016
0.135,0.0603,0.2645,0.023,-0.0016
0.14,0.0615,0.288,0.0242,-0.0016
0.145,0.0627,0.3101,0.0254,-0.0016
0.15,0.064,0.3311,0.0266,-0.0016
0.155,0.0653,0.3508,0.0279,-0.0016
0.16,0.0666,0.37,0.0293,-0.0016
0.165,0.0681,0.3887,0.0308,-0.0016
0.17,0.0697,0.4068,0.0324,-0.0016
0.175,0.0713,0.4246,0.0339,-0.0016
0.18,0.0728,0.4425,0.0355,-0.0016
0.185,0.0743,0.4605,0.037,-0.0016
0.19,0.0758,0.479,0.0385,-0.0016
0.195,0.0773,0.498,0.0399,-0.0016
0.2,0.0788,0.5171,0.0414,-0.0016
0.205,0.0803,0.536,0.0429,-0.0016
0.21,0.0818,0.5553,0.0445,-0.0016
0.215,0.0834,0.5758,0.0461,-0.0016
0.22,0.085,0.5963,0.0477,-0.0016
0.225,0.0866,0.6172,0.0493,-0.0016
0.23,0.0882,0.638,0.0509,-0.0016
0.235,0.0897,0.6592,0.0524,-0.0016
0.24,0.0912,0.6806,0.0539,-0.0016
0.245,0.0926,0.7018,0.0553,-0.0016
0.25,0.0939,0.7224,0.0566,-0.0016
0.255,0.0952,0.7419,0.0579,-0.0016
0.26,0.0965,0.7611,0.0592,-0.0016
0.265,0.0978,0.7801,0.0605,-0.0016
0.27,0.0992,0.7988,0.0619,-0.0016
0.275,0.1007,0.817,0.0633,-0.0016
0.28,0.1022,0.8359,0.0649,-0.0016
0.285,0.1038,0.8545,0.0664,-0.0016
0.29,0.1054,0.8728,0.0681,-0.0016
0.295,0.107,0.8915,0.0697,-0.0016
0.3,0.1087,0.9112,0.0713,-0.0016
0.305,0.1102,0.9312,0.0728,-0.0016
0.31,0.1116,0.9519,0.0742,-0.0016
0.315,0.1128,0.9727,0.0755,-0.0016
0.32,0.114,0.993,0.0767,-0.0016
0.325,0.1153,1.0125,0.0779,-0.0016
0.33,0.1165,1.0315,0.0792,-0.0016
0.335,0.1179,1.0503,0.0806,-0.0016
0.34,0.1193,1.0688,0.0819,-0.0016
0.345,0.1207,1.0873,0.0834,-0.0016
0.35,0.1223,1.1057,0.0849,-0.0016
0.355,0.1238,1.1248,0.0865,-0.0016
0.36,0.1254,1.1448,0.088,-0.0016
0.365,0.1269,1.1651,0.0895,-0.0016
0.37,0.1283,1.186,0.091,-0.0016
0.375,0.1299,1.2076,0.0925,-0.0016
0.38,0.1314,1.2304,0.0941,-0.0016
0.385,0.133,1.2542,0.0957,-0.0016
0.39,0.1347,1.2787,0.0973,-0.0016
0.395,0.1364,1.3036,0.0991,-0.0016
0.4,0.1382,1.3297,0.1009,-0.0016
0.405,0.1399,1.3568,0.1026,-0.0016
0.41,0.1417,1.3846,0.1044,-0.0016
0.415,0.1434,1.4129,0.1061,-0.0016
0.42,0.145,1.4417,0.1077,-0.0016
0.425,0.1466,1.4709,0.1093,-0.0016
0.43,0.1481,1.5003,0.1108,-0.0016
0.435,0.1496,1.5301,0.1122,-0.0016
0.44,0.1511,1.5601,0.1137,-0.0016
0.445,0.1526,1.5895,0.1153,-0.0016
0.45,0.1542,1.6188,0.1168,-0.0016
0.455,0.1558,1.6482,0.1185,-0.0016
0.46,0.1575,1.6781,0.1202,-0.0016
0.465,0.1592,1.7088,0.1219,-0.0016
0.47,0.1609,1.7406,0.1236,-0.0016
0.475,0.1625,1.7732,0.1252,-0.0016
0.48,0.1639,1.8051,0.1266,-0.0016
0.485,0.1652,1.836,0.1279,-0.0016
0.49,0.1664,1.8657,0.1291,-0.0016
0.495,0.1675,1.8943,0.1302,-0.0016
0.5,0.1687,1.9217,0.1314,-0.0016
0.505,0.1699,1.9477,0.1326,-0.0016
0.51,0.1712,1.973,0.1339,-0.0016
0.515,0.1726,1.9983,0.1353,-0.0016
0.52,0.1741,2.0233,0.1367,-0.0016
0.525,0.1755,2.0488,0.1382,-0.0016
0.53,0.177,2.0754,0.1397,-0.0016
0.535,0.1784,2.1031,0.1411,-0.0016
0.54,0.1798,2.132,0.1425,-0.0016
0.545,0.1812,2.1632,0.1439,-0.0016
0.55,0.1827,2.1973,0.1453,-0.0016
0.555,0.1842,2.2345,0.1468,-0.0016
0.56,0.1858,2.2763,0.1484,-0.0016
0.565,0.1874,2.323,0.1501,-0.0016
0.57,0.1891,2.3763,0.1518,-0.0016
0.575,0.1909,2.4385,0.1535,-0.0016
0.58,0.1926,2.5111,0.1553,-0.0016
0.585,0.1943,2.5949,0.157,-0.0016
0.59,0.196,2.6903,0.1587,-0.0016
0.595,0.1976,2.7958,0.1602,-0.0016
0.6,0.199,2.909,0.1617,-0.0016
0.605,0.2004,3.027,0.163,-0.0016
0.61,0.2017,3.148,0.1644,-0.0016
0.615,0.2031,3.2699,0.1658,-0.0016
0.62,0.2046,3.3919,0.1673,-0.0016
0.625,0.2061,3.5149,0.1688,-0.0016
0.63,0.2077,3.6391,0.1704,-0.0016
0.635,0.2093,3.766,0.172,-0.0016
0.64,0.211,3.8967,0.1736,-0.0016
0.645,0.2126,4.0318,0.1753,-0.0016
0.65,0.2141,4.1703,0.1768,-0.0016
0.655,0.2155,4.3106,0.1782,-0.0016
0.66,0.2168,4.4512,0.1795,-0.0016
0.665,0.218,4.5898,0.1807,-0.0016
0.67,0.2192,4.725,0.1819,-0.0016
0.675,0.2204,4.856,0.1831,-0.0016
0.68,0.2216,4.9824,0.1843,-0.0016
0.685,0.223,5.1048,0.1857,-0.0016
0.69,0.2244,5.2254,0.187,-0.0016
0.695,0.2258,5.3475,0.1885,-0.0016
0.7,0.2273,5.4725,0.19,-0.0016
0.705,0.2288,5.6015,0.1915,-0.0016
0.71,0.2303,5.7348,0.193,-0.0016
