swing_phase, Sync, time, data
0, 0, 0.03794431686401367, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.0430448055267334, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.04796171188354492, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.05291152000427246, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.057906150817871094, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.06295061111450195, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.06786489486694336, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.07286572456359863, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.0779263973236084, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.08286643028259277, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.08822345733642578, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.09289407730102539, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.09790301322937012, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.1029212474822998, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.10826706886291504, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.11298298835754395, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.11797785758972168, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.12313032150268555, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.12827658653259277, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.133026123046875, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.13832807540893555, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.1433866024017334, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.1479816436767578, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.15305542945861816, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.1579601764678955, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.16297698020935059, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.16834712028503418, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.17293047904968262, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.1779313087463379, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.18304228782653809, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.1880354881286621, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.19292926788330078, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.19792866706848145, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.2029256820678711, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.20807623863220215, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.2129228115081787, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.21805238723754883, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.222930908203125, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.22792887687683105, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.23292994499206543, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.23794817924499512, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.2429523468017578, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
0, 0, 0.24794840812683105, 0.6480000019073486 0.6579999923706055 0.6240000128746033 0.6639999747276306 0.6480000019073486 0.7020000219345093
