Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.0933","0.0421","0.0000","-0.0016"
"0.0050","0.0933","0.0410","0.0000","-0.0016"
"0.0100","0.0933","0.0405","0.0000","-0.0016"
"0.0150","0.0933","0.0403","0.0000","-0.0016"
"0.0200","0.0933","0.0401","0.0000","-0.0016"
"0.0250","0.0933","0.0407","0.0000","-0.0016"
"0.0300","0.0933","0.0417","0.0000","-0.0016"
"0.0350","0.0933","0.0425","0.0000","-0.0016"
"0.0400","0.0933","0.0429","0.0000","-0.0016"
"0.0450","0.0934","0.0433","0.0001","-0.0016"
"0.0500","0.0935","0.0434","0.0002","-0.0016"
"0.0550","0.0937","0.0437","0.0004","-0.0016"
"0.0600","0.0941","0.0462","0.0008","-0.0016"
"0.0650","0.0947","0.0519","0.0014","-0.0016"
"0.0700","0.0955","0.0621","0.0022","-0.0016"
"0.0750","0.0966","0.0793","0.0033","-0.0016"
"0.0800","0.0979","0.1068","0.0046","-0.0016"
"0.0850","0.0994","0.1468","0.0061","-0.0016"
"0.0900","0.1011","0.2012","0.0078","-0.0016"
"0.0950","0.1027","0.2712","0.0094","-0.0016"
"0.1000","0.1043","0.3562","0.0110","-0.0016"
"0.1050","0.1060","0.4553","0.0127","-0.0016"
"0.1100","0.1077","0.5671","0.0144","-0.0016"
"0.1150","0.1095","0.6904","0.0162","-0.0016"
"0.1200","0.1113","0.8245","0.0180","-0.0016"
"0.1250","0.1131","0.9675","0.0198","-0.0016"
"0.1300","0.1148","1.1182","0.0215","-0.0016"
"0.1350","0.1164","1.2740","0.0231","-0.0016"
"0.1400","0.1178","1.4312","0.0245","-0.0016"
"0.1450","0.1191","1.5870","0.0258","-0.0016"
"0.1500","0.1203","1.7387","0.0270","-0.0016"
"0.1550","0.1215","1.8842","0.0282","-0.0016"
"0.1600","0.1227","2.0234","0.0294","-0.0016"
"0.1650","0.1239","2.1569","0.0306","-0.0016"
"0.1700","0.1253","2.2861","0.0320","-0.0016"
"0.1750","0.1266","2.4125","0.0333","-0.0016"
"0.1800","0.1281","2.5383","0.0348","-0.0016"
"0.1850","0.1295","2.6649","0.0362","-0.0016"
"0.1900","0.1309","2.7940","0.0376","-0.0016"
"0.1950","0.1323","2.9256","0.0390","-0.0016"
"0.2000","0.1337","3.0600","0.0404","-0.0016"
"0.2050","0.1351","3.1963","0.0418","-0.0016"
"0.2100","0.1365","3.3344","0.0432","-0.0016"
"0.2150","0.1381","3.4752","0.0448","-0.0016"
"0.2200","0.1397","3.6201","0.0464","-0.0016"
"0.2250","0.1413","3.7707","0.0480","-0.0016"
"0.2300","0.1429","3.9271","0.0496","-0.0016"
"0.2350","0.1446","4.0896","0.0513","-0.0016"
"0.2400","0.1463","4.2587","0.0530","-0.0016"
"0.2450","0.1479","4.4329","0.0546","-0.0016"
"0.2500","0.1495","4.6112","0.0562","-0.0016"
"0.2550","0.1511","4.7927","0.0578","-0.0016"
"0.2600","0.1526","4.9767","0.0593","-0.0016"
"0.2650","0.1540","5.1614","0.0607","-0.0016"
"0.2700","0.1555","5.3445","0.0622","-0.0016"
"0.2750","0.1571","5.5262","0.0638","-0.0016"
"0.2800","0.1587","5.7074","0.0654","-0.0016"
"0.2850","0.1603","5.8893","0.0670","-0.0016"
"0.2900","0.1621","6.0736","0.0688","-0.0016"
"0.2950","0.1639","6.2622","0.0706","-0.0016"
"0.3000","0.1656","6.4562","0.0723","-0.0016"
"0.3050","0.1673","6.6562","0.0740","-0.0016"
"0.3100","0.1688","6.8605","0.0755","-0.0016"
"0.3150","0.1702","7.0661","0.0769","-0.0016"
"0.3200","0.1715","7.2688","0.0782","-0.0016"
"0.3250","0.1727","7.4647","0.0794","-0.0016"
"0.3300","0.1740","7.6524","0.0807","-0.0016"
"0.3350","0.1752","7.8319","0.0819","-0.0016"
"0.3400","0.1765","8.0045","0.0832","-0.0016"
"0.3450","0.1779","8.1722","0.0846","-0.0016"
"0.3500","0.1793","8.3381","0.0860","-0.0016"
"0.3550","0.1807","8.5040","0.0874","-0.0016"
"0.3600","0.1821","8.6717","0.0888","-0.0016"
"0.3650","0.1835","8.8420","0.0902","-0.0016"
"0.3700","0.1849","9.0146","0.0916","-0.0016"
"0.3750","0.1863","9.1886","0.0930","-0.0016"
"0.3800","0.1877","9.3635","0.0944","-0.0016"
"0.3850","0.1891","9.5408","0.0958","-0.0016"
"0.3900","0.1906","9.7227","0.0973","-0.0016"
"0.3950","0.1922","9.9090","0.0989","-0.0016"
"0.4000","0.1938","10.1001","0.1004","-0.0016"
"0.4050","0.1954","10.2979","0.1021","-0.0016"
"0.4100","0.1970","10.5024","0.1037","-0.0016"
"0.4150","0.1986","10.7130","0.1053","-0.0016"
"0.4200","0.2002","10.9296","0.1069","-0.0016"
"0.4250","0.2018","11.1506","0.1085","-0.0016"
"0.4300","0.2032","11.3740","0.1099","-0.0016"
"0.4350","0.2046","11.5961","0.1113","-0.0016"
"0.4400","0.2059","11.8142","0.1126","-0.0016"
"0.4450","0.2073","12.0268","0.1140","-0.0016"
"0.4500","0.2087","12.2344","0.1154","-0.0016"
"0.4550","0.2102","12.4390","0.1169","-0.0016"
"0.4600","0.2117","12.6420","0.1184","-0.0016"
"0.4650","0.2133","12.8467","0.1200","-0.0016"
"0.4700","0.2150","13.0555","0.1217","-0.0016"
"0.4750","0.2167","13.2710","0.1234","-0.0016"
"0.4800","0.2183","13.4937","0.1250","-0.0016"
"0.4850","0.2198","13.7212","0.1265","-0.0016"
"0.4900","0.2211","13.9502","0.1278","-0.0016"
"0.4950","0.2223","14.1759","0.1290","-0.0016"
"0.5000","0.2235","14.3945","0.1302","-0.0016"
"0.5050","0.2246","14.6034","0.1313","-0.0016"
"0.5100","0.2258","14.8016","0.1325","-0.0016"
"0.5150","0.2271","14.9903","0.1338","-0.0016"
"0.5200","0.2284","15.1715","0.1351","-0.0016"
"0.5250","0.2298","15.3491","0.1365","-0.0016"
"0.5300","0.2312","15.5267","0.1379","-0.0016"
"0.5350","0.2327","15.7075","0.1394","-0.0016"
"0.5400","0.2342","15.8939","0.1409","-0.0016"
"0.5450","0.2356","16.0866","0.1423","-0.0016"
"0.5500","0.2371","16.2849","0.1438","-0.0016"
"0.5550","0.2386","16.4888","0.1453","-0.0016"
"0.5600","0.2401","16.6982","0.1468","-0.0016"
"0.5650","0.2417","16.9131","0.1484","-0.0016"
"0.5700","0.2434","17.1345","0.1501","-0.0016"
"0.5750","0.2451","17.3627","0.1518","-0.0016"
"0.5800","0.2468","17.5983","0.1535","-0.0016"
"0.5850","0.2486","17.8427","0.1553","-0.0016"
"0.5900","0.2504","18.0951","0.1571","-0.0016"
"0.5950","0.2521","18.3537","0.1588","-0.0016"
"0.6000","0.2537","18.6171","0.1604","-0.0016"
"0.6050","0.2552","18.8826","0.1619","-0.0016"
"0.6100","0.2567","19.1462","0.1634","-0.0016"
"0.6150","0.2581","19.4037","0.1648","-0.0016"
"0.6200","0.2595","19.6529","0.1662","-0.0016"
"0.6250","0.2609","19.8935","0.1676","-0.0016"
"0.6300","0.2625","20.1266","0.1692","-0.0016"
"0.6350","0.2641","20.3551","0.1708","-0.0016"
"0.6400","0.2658","20.5833","0.1725","-0.0016"
"0.6450","0.2676","20.8151","0.1743","-0.0016"
"0.6500","0.2693","21.0527","0.1760","-0.0016"
"0.6550","0.2710","21.2972","0.1777","-0.0016"
"0.6600","0.2725","21.5473","0.1792","-0.0016"
"0.6650","0.2739","21.7985","0.1806","-0.0016"
"0.6700","0.2752","22.0459","0.1819","-0.0016"
"0.6750","0.2764","22.2854","0.1831","-0.0016"
"0.6800","0.2776","22.5137","0.1843","-0.0016"
"0.6850","0.2788","22.7298","0.1855","-0.0016"
"0.6900","0.2801","22.9353","0.1868","-0.0016"
"0.6950","0.2815","23.1332","0.1882","-0.0016"
"0.7000","0.2830","23.3276","0.1897","-0.0016"
"0.7050","0.2845","23.5229","0.1912","-0.0016"
"0.7100","0.2861","23.7223","0.1928","-0.0016"
"0.7150","0.2876","23.9284","0.1943","-0.0016"
"0.7200","0.2890","24.1413","0.1957","-0.0016"
"0.7250","0.2906","24.3598","0.1973","-0.0016"
"0.7300","0.2921","24.5831","0.1988","-0.0016"
"0.7350","0.2936","24.8105","0.2003","-0.0016"
"0.7400","0.2952","25.0420","0.2019","-0.0016"
"0.7450","0.2968","25.2781","0.2035","-0.0016"
"0.7500","0.2985","25.5200","0.2052","-0.0016"
"0.7550","0.3002","25.7679","0.2069","-0.0016"
"0.7600","0.3020","26.0226","0.2087","-0.0016"
"0.7650","0.3037","26.2845","0.2104","-0.0016"
"0.7700","0.3053","26.5518","0.2120","-0.0016"
"0.7750","0.3069","26.8215","0.2136","-0.0016"
"0.7800","0.3085","27.0910","0.2152","-0.0016"
"0.7850","0.3099","27.3571","0.2166","-0.0016"
"0.7900","0.3113","27.6173","0.2180","-0.0016"
"0.7950","0.3128","27.8702","0.2195","-0.0016"
"0.8000","0.3142","28.1161","0.2209","-0.0016"
"0.8050","0.3158","28.3568","0.2225","-0.0016"
"0.8100","0.3174","28.5949","0.2241","-0.0016"
"0.8150","0.3191","28.8347","0.2258","-0.0016"
"0.8200","0.3208","29.0785","0.2275","-0.0016"
"0.8250","0.3225","29.3275","0.2292","-0.0016"
"0.8300","0.3240","29.5802","0.2307","-0.0016"
"0.8350","0.3254","29.8338","0.2321","-0.0016"
"0.8400","0.3267","30.0843","0.2334","-0.0016"
"0.8450","0.3279","30.3271","0.2346","-0.0016"
"0.8500","0.3291","30.5591","0.2358","-0.0016"
"0.8550","0.3303","30.7799","0.2370","-0.0016"
"0.8600","0.3316","30.9906","0.2383","-0.0016"
"0.8650","0.3330","31.1945","0.2397","-0.0016"
