swing_phase, Sync, time, data
0, 0, 0.07077813148498535, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6499999761581421 0.7260000109672546
0, 0, 0.0754079818725586, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.07710981369018555, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6499999761581421 0.7260000109672546
0, 0, 0.08267068862915039, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6499999761581421 0.7260000109672546
0, 0, 0.08709716796875, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.09239673614501953, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.0973825454711914, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.10259056091308594, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.1078639030456543, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6679999828338623 0.6520000100135803 0.7260000109672546
0, 0, 0.11278700828552246, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.11806511878967285, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6499999761581421 0.7260000109672546
0, 0, 0.12240362167358398, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.12717962265014648, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6499999761581421 0.7260000109672546
0, 0, 0.13309693336486816, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.13786840438842773, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6499999761581421 0.7260000109672546
0, 0, 0.1426537036895752, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.14797329902648926, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.15935635566711426, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.15966796875, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.16244029998779297, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.1680011749267578, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
0, 0, 0.17244529724121094, 0.6759999990463257 0.6259999871253967 0.6399999856948853 0.6700000166893005 0.6520000100135803 0.7260000109672546
