sync,time,vout
1,1.3451628684997559,1.2020000219345093
1,1.3498480319976807,1.2020000219345093
1,1.3548367023468018,1.2020000219345093
1,1.3598487377166748,1.2020000219345093
1,1.3648381233215332,1.2039999961853027
1,1.3701729774475098,1.2039999961853027
1,1.3751049041748047,1.2039999961853027
1,1.380105972290039,1.2039999961853027
1,1.385129451751709,1.2059999704360962
1,1.390099048614502,1.2059999704360962
1,1.3948285579681396,1.2059999704360962
1,1.4001045227050781,1.2059999704360962
1,1.4048492908477783,1.2079999446868896
1,1.4098410606384277,1.2079999446868896
1,1.4151198863983154,1.2079999446868896
1,1.4200899600982666,1.2079999446868896
1,1.4250977039337158,1.2079999446868896
1,1.4301011562347412,1.2100000381469729
1,1.4351017475128174,1.2100000381469729
1,1.4401006698608398,1.2100000381469729
1,1.4450807571411133,1.2100000381469729
1,1.4501545429229736,1.2100000381469729
1,1.4548349380493164,1.212000012397766
1,1.4600825309753418,1.212000012397766
1,1.465122938156128,1.212000012397766
1,1.470111846923829,1.212000012397766
1,1.4751250743865967,1.212000012397766
1,1.4801032543182373,1.2139999866485596
1,1.4851412773132324,1.2139999866485596
1,1.489849328994751,1.2139999866485596
1,1.4948341846466064,1.2139999866485596
1,1.499826192855835,1.215999960899353
1,1.5048389434814453,1.215999960899353
1,1.509840965270997,1.215999960899353
1,1.5150790214538574,1.215999960899353
1,1.520101547241211,1.215999960899353
1,1.5248801708221436,1.215999960899353
1,1.53011155128479,1.218000054359436
1,1.5351324081420898,1.218000054359436
1,1.5398573875427246,1.218000054359436
1,1.5450921058654785,1.218000054359436
1,1.5504794120788574,1.218000054359436
1,1.555084466934205,1.2200000286102295
1,1.5601067543029785,1.2200000286102295
1,1.564850091934205,1.2200000286102295
1,1.5701019763946533,1.2200000286102295
1,1.575078010559082,1.222000002861023
1,1.5801866054534912,1.222000002861023
1,1.5851085186004639,1.222000002861023
1,1.5901048183441162,1.222000002861023
1,1.595106601715088,1.222000002861023
1,1.6000640392303467,1.222000002861023
1,1.605201005935669,1.222000002861023
1,1.609840154647828,1.222000002861023
1,1.6148381233215332,1.222000002861023
1,1.619847059249878,1.222000002861023
1,1.6251671314239502,1.2239999771118164
1,1.630075216293335,1.2239999771118164
1,1.6351513862609863,1.2239999771118164
1,1.6399028301239014,1.2239999771118164
1,1.644956111907959,1.2239999771118164
1,1.6498830318450928,1.2239999771118164
1,1.6548686027526855,1.2239999771118164
1,1.6598856449127197,1.2239999771118164
1,1.6670351028442383,1.2239999771118164
1,1.6704506874084473,1.222000002861023
1,1.6749234199523926,1.222000002861023
1,1.6812150478363037,1.222000002861023
1,1.684934377670289,1.222000002861023
1,1.6901586055755615,1.222000002861023
1,1.6948699951171875,1.222000002861023
1,1.7003822326660156,1.2200000286102295
1,1.7051653861999512,1.2200000286102295
1,1.7098774909973145,1.2200000286102295
1,1.7160930633544922,1.2200000286102295
1,1.7200794219970703,1.2200000286102295
1,1.7248589992523193,1.2200000286102295
1,1.7298731803894043,1.218000054359436
1,1.735541820526123,1.218000054359436
1,1.7401697635650635,1.218000054359436
1,1.7464220523834229,1.218000054359436
1,1.7504537105560303,1.218000054359436
1,1.7548646926879883,1.218000054359436
1,1.7599115371704102,1.215999960899353
1,1.765070915222168,1.215999960899353
1,1.7701787948608398,1.215999960899353
1,1.774867057800293,1.215999960899353
1,1.779999017715454,1.2139999866485596
1,1.7849905490875244,1.2139999866485596
1,1.790196180343628,1.2139999866485596
1,1.7953782081604004,1.2139999866485596
1,1.8010072708129883,1.212000012397766
1,1.8052232265472412,1.212000012397766
1,1.8102450370788574,1.212000012397766
1,1.8158106803894043,1.212000012397766
1,1.8200740814208984,1.212000012397766
1,1.824859619140625,1.212000012397766
1,1.8301305770874023,1.2100000381469729
1,1.8353679180145264,1.2100000381469729
1,1.8398725986480713,1.2100000381469729
