Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.1313,0.017,0.0,-0.0016
0.005,0.1314,0.0168,0.0001,-0.0016
0.01,0.1312,0.0162,0.0,-0.0016
0.015,0.1314,0.0154,0.0001,-0.0016
0.02,0.1313,0.0144,0.0,-0.0016
0.025,0.1314,0.0138,0.0001,-0.0016
0.03,0.1313,0.0137,0.0,-0.0016
0.035,0.1314,0.0145,0.0001,-0.0016
0.04,0.1314,0.0145,0.0001,-0.0016
0.045,0.1314,0.0137,0.0002,-0.0016
0.05,0.1316,0.0132,0.0003,-0.0016
0.055,0.1318,0.0127,0.0005,-0.0016
0.06,0.132,0.0126,0.0007,-0.0016
0.065,0.1324,0.0133,0.0012,-0.0016
0.07,0.1332,0.0158,0.0019,-0.0016
0.075,0.1342,0.0202,0.003,-0.0016
0.08,0.1357,0.0274,0.0044,-0.0016
0.085,0.1374,0.0376,0.0061,-0.0016
0.09,0.1392,0.0512,0.008,-0.0016
0.095,0.1411,0.0676,0.0098,-0.0016
0.1,0.1428,0.0871,0.0115,-0.0016
0.105,0.1443,0.109,0.0131,-0.0016
0.11,0.1457,0.1328,0.0145,-0.0016
0.115,0.147,0.1579,0.0158,-0.0016
0.12,0.1483,0.1835,0.017,-0.0016
0.125,0.1496,0.2092,0.0183,-0.0016
0.13,0.151,0.2347,0.0197,-0.0016
0.135,0.1525,0.2592,0.0212,-0.0016
0.14,0.154,0.2827,0.0227,-0.0016
0.145,0.1555,0.3049,0.0242,-0.0016
0.15,0.157,0.3268,0.0257,-0.0016
0.155,0.1585,0.3483,0.0272,-0.0016
0.16,0.16,0.3703,0.0287,-0.0016
0.165,0.1615,0.3922,0.0302,-0.0016
0.17,0.163,0.4149,0.0317,-0.0016
0.175,0.1646,0.4385,0.0333,-0.0016
0.18,0.1662,0.4624,0.035,-0.0016
0.185,0.1679,0.4871,0.0367,-0.0016
0.19,0.1697,0.5126,0.0384,-0.0016
0.195,0.1714,0.5383,0.0401,-0.0016
0.2,0.1731,0.5648,0.0418,-0.0016
0.205,0.1747,0.5913,0.0435,-0.0016
0.21,0.1763,0.6187,0.045,-0.0016
0.215,0.1777,0.6463,0.0465,-0.0016
0.22,0.1792,0.6738,0.0479,-0.0016
0.225,0.1806,0.7007,0.0493,-0.0016
0.23,0.182,0.7269,0.0507,-0.0016
0.235,0.1834,0.7525,0.0521,-0.0016
0.24,0.1849,0.7776,0.0536,-0.0016
0.245,0.1865,0.8019,0.0552,-0.0016
0.25,0.1881,0.826,0.0568,-0.0016
0.255,0.1896,0.8508,0.0584,-0.0016
0.26,0.1912,0.8762,0.06,-0.0016
0.265,0.1927,0.9019,0.0615,-0.0016
0.27,0.1941,0.9271,0.0628,-0.0016
0.275,0.1954,0.9519,0.0641,-0.0016
0.28,0.1966,0.9768,0.0654,-0.0016
0.285,0.1978,1.0019,0.0665,-0.0016
0.29,0.1989,1.0268,0.0677,-0.0016
0.295,0.2001,1.0508,0.0689,-0.0016
0.3,0.2014,1.0742,0.0701,-0.0016
0.305,0.2027,1.0971,0.0714,-0.0016
0.31,0.2041,1.1199,0.0728,-0.0016
0.315,0.2056,1.1425,0.0743,-0.0016
