Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.0317,0.0242,0.0,-0.0016
0.005,0.0316,0.0245,0.0,-0.0016
0.01,0.0317,0.0246,0.0,-0.0016
0.015,0.0316,0.0245,0.0,-0.0016
0.02,0.0317,0.0241,0.0,-0.0016
0.025,0.0317,0.0233,0.0,-0.0016
0.03,0.0317,0.0227,0.0,-0.0016
0.035,0.0317,0.0224,0.0,-0.0016
0.04,0.0316,0.0215,0.0,-0.0016
0.045,0.0317,0.021,0.0,-0.0016
0.05,0.0317,0.0205,0.0,-0.0016
0.055,0.0319,0.0204,0.0002,-0.0016
0.06,0.0322,0.0207,0.0005,-0.0016
0.065,0.0327,0.0223,0.001,-0.0016
0.07,0.0335,0.0257,0.0018,-0.0016
0.075,0.0345,0.0322,0.0028,-0.0016
0.08,0.0358,0.0417,0.0041,-0.0017
0.085,0.0373,0.0548,0.0056,-0.0017
0.09,0.0389,0.0722,0.0072,-0.0017
0.095,0.0406,0.0939,0.0089,-0.0017
0.1,0.0423,0.12,0.0106,-0.0017
0.105,0.0439,0.1512,0.0123,-0.0016
0.11,0.0456,0.1859,0.014,-0.0016
0.115,0.0474,0.2235,0.0157,-0.0016
0.12,0.0491,0.264,0.0174,-0.0016
0.125,0.0508,0.3068,0.0192,-0.0016
0.13,0.0526,0.3519,0.0209,-0.0016
0.135,0.0542,0.3989,0.0225,-0.0016
0.14,0.0557,0.4473,0.024,-0.0016
0.145,0.0571,0.4964,0.0255,-0.0016
0.15,0.0585,0.5455,0.0268,-0.0016
0.155,0.0599,0.5942,0.0282,-0.0016
0.16,0.0613,0.6417,0.0296,-0.0016
0.165,0.0627,0.6874,0.031,-0.0016
0.17,0.0642,0.7324,0.0325,-0.0016
0.175,0.0658,0.7775,0.0341,-0.0016
0.18,0.0673,0.8224,0.0356,-0.0016
0.185,0.0689,0.8678,0.0372,-0.0016
0.19,0.0705,0.9138,0.0388,-0.0016
0.195,0.0719,0.9598,0.0403,-0.0016
0.2,0.0733,1.0051,0.0417,-0.0016
0.205,0.0746,1.0502,0.043,-0.0017
0.21,0.0758,1.0946,0.0442,-0.0017
0.215,0.077,1.1373,0.0453,-0.0017
0.22,0.0782,1.178,0.0465,-0.0017
0.225,0.0794,1.2167,0.0478,-0.0017
0.23,0.0808,1.2545,0.0491,-0.0017
0.235,0.0822,1.2918,0.0505,-0.0017
0.24,0.0836,1.3282,0.0519,-0.0017
0.245,0.0851,1.3644,0.0534,-0.0017
0.25,0.0866,1.4008,0.0549,-0.0017
0.255,0.0881,1.4379,0.0564,-0.0017
0.26,0.0895,1.4765,0.0578,-0.0017
0.265,0.091,1.5157,0.0593,-0.0017
0.27,0.0925,1.5551,0.0608,-0.0017
0.275,0.0941,1.5948,0.0624,-0.0016
0.28,0.0957,1.635,0.064,-0.0016
0.285,0.0974,1.6759,0.0657,-0.0016
0.29,0.099,1.7177,0.0674,-0.0016
0.295,0.1007,1.7609,0.069,-0.0016
0.3,0.1024,1.8057,0.0708,-0.0016
0.305,0.1041,1.8514,0.0724,-0.0016
0.31,0.1057,1.8976,0.074,-0.0016
0.315,0.1072,1.9444,0.0755,-0.0016
0.32,0.1086,1.9913,0.0769,-0.0016
0.325,0.11,2.0371,0.0783,-0.0016
0.33,0.1114,2.083,0.0797,-0.0016
0.335,0.1127,2.1281,0.0811,-0.0016
0.34,0.1141,2.1724,0.0825,-0.0016
0.345,0.1156,2.216,0.084,-0.0016
0.35,0.1172,2.259,0.0855,-0.0016
0.355,0.1189,2.303,0.0872,-0.0016
0.36,0.1205,2.3484,0.0889,-0.0016
0.365,0.1222,2.3954,0.0905,-0.0017
0.37,0.1238,2.4431,0.0921,-0.0017
0.375,0.1252,2.4915,0.0936,-0.0017
0.38,0.1266,2.5398,0.0949,-0.0017
0.385,0.1279,2.5878,0.0962,-0.0017
0.39,0.1291,2.6344,0.0974,-0.0017
0.395,0.1304,2.6795,0.0987,-0.0017
0.4,0.1316,2.7225,0.0999,-0.0017
0.405,0.1329,2.764,0.1013,-0.0017
0.41,0.1344,2.8045,0.1027,-0.0017
0.415,0.1359,2.8448,0.1042,-0.0017
0.42,0.1374,2.8863,0.1057,-0.0017
0.425,0.1389,2.9289,0.1072,-0.0017
0.43,0.1403,2.9729,0.1086,-0.0017
0.435,0.1418,3.018,0.1101,-0.0017
0.44,0.1432,3.0637,0.1115,-0.0017
