swing_phase, Sync, time, data
0, 0, 0.06713032722473145, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.07145333290100098, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.07673954963684082, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.08179235458374023, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.08643078804016113, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.09166574478149414, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.09668827056884766, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.10178041458129883, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.10776901245117188, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.11244320869445801, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.11738824844360352, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.12230300903320312, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.12767648696899414, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.1325981616973877, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6660000085830688 0.7300000190734863
0, 0, 0.13655877113342285, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.14440393447875977, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.14777922630310059, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.15216970443725586, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.15653252601623535, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.1614513397216797, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.16746258735656738, 0.6700000166893005 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
0, 0, 0.17148399353027344, 0.671999990940094 0.6880000233650208 0.6380000114440918 0.6759999990463257 0.6639999747276306 0.7300000190734863
