swing_phase, Sync, time, data
0, 0, 0.06431341171264648, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.06884193420410156, 0.6539999842643738 0.6240000128746033 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.07410287857055664, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.07907772064208984, 0.6539999842643738 0.6240000128746033 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.08406925201416016, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.08912420272827148, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.09406399726867676, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.09909701347351074, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.1077423095703125, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.1097569465637207, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.11419153213500977, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.11921381950378418, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.12393856048583984, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.13008570671081543, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.13426947593688965, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.1394796371459961, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.1444227695465088, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.14932560920715332, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.15601420402526855, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.1599712371826172, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.16432571411132812, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.16883039474487305, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.17407917976379395, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.17908358573913574, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.18407917022705078, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.18912053108215332, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.19381380081176758, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.19910693168640137, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.20407605171203613, 0.6539999842643738 0.6240000128746033 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.20906734466552734, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2140657901763916, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2187964916229248, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.22390055656433105, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.22910809516906738, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.23408079147338867, 0.6539999842643738 0.6240000128746033 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2390737533569336, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2440659999847412, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.24909019470214844, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.2539989948272705, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2588968276977539, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2639038562774658, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.26930880546569824, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.27386951446533203, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7279999852180481
0, 0, 0.2790062427520752, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2841651439666748, 0.6539999842643738 0.6240000128746033 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2900373935699463, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2940051555633545, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.2997128963470459, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
0, 0, 0.30409693717956543, 0.6539999842643738 0.6259999871253967 0.6240000128746033 0.6679999828338623 0.6520000100135803 0.7300000190734863
